"OID","Objective Name","Status","SDID","SD Name"
"O-000425","3 second - reintro","Active","SD-000473","Tolerance"
"O-000426","3 seconds","Active","SD-000516","With visual"
"O-000427","3 seconds","Active","SD-000515","With gesture"
"O-000428","3 seconds","Active","SD-000505","Wait w visual"
"O-000429","3 seconds","Active","SD-000457","Ta"
"O-000430","3 seconds","Active","SD-000493","Visual"
"O-000431","3 seconds","Active","SD-000459","TA's turn"
"O-000432","3 seconds","Active","SD-000473","Tolerance"
"O-000433","3 seconds - medium preferred item","Active","SD-000457","Ta"
"O-000434","3 seconds - non preferred item","Active","SD-000457","Ta"
"O-000435","3 seconds - preferred item","Active","SD-000457","Ta"
"O-000436","3 shapes","Active","SD-000049","Colouring"
"O-000437","3 shapes","Active","SD-000219","Imitation"
"O-000438","3 shapes","Active","SD-000367","Receptive"
"O-000439","3 Shapes","Active","SD-000300","Pasting"
"O-000440","3 Snips","Active","SD-000062","Cutting"
"O-000441","3 statements","Active","SD-000229","Instruction"
"O-000442","3 statements","Active","SD-000448","Statement"
"O-000443","3 Step Chain","Active","SD-000309","Planned model w item at table"
"O-000444","3 Step Chain","Active","SD-000310","Planned model w item in play"
"O-000445","3 Step Chain","Active","SD-000041","Change aspect of play"
"O-000446","3 step chain","Active","SD-000308","Planned model w item"
"O-000447","3 step chain - follow the leader","Active","SD-000308","Planned model w item"
"O-000448","3 step fine motor","Active","SD-000306","Planned model"
"O-000449","3 Steps","Active","SD-000013","Action"
"O-000450","3 Steps","Active","SD-000015","Action w item"
"O-000451","3 steps","Active","SD-000204","Holding hands"
"O-000452","3 steps","Active","SD-000291","Not holding hands"
"O-000453","3 tasks (close ended)","Active","SD-000070","Do schedule"
"O-000454","3 tokens","Active","SD-000466","Token board"
"O-000455","3 Tubs F1","Active","SD-000213","Identical"
"O-000456","3 Tubs F12","Active","SD-000213","Identical"
"O-000457","3 Tubs F12","Active","SD-000289","Non-Identical"
"O-000458","3 Tubs F12","Active","SD-000050","Colours"
"O-000459","3 Tubs F3","Active","SD-000213","Identical"
"O-000460","3 Tubs F3","Active","SD-000289","Non-Identical"
"O-000461","3 Tubs F3","Active","SD-000050","Colours"
"O-000462","3 Tubs F6","Active","SD-000213","Identical"
"O-000463","3 Tubs F6","Active","SD-000289","Non-Identical"
"O-000464","3 Tubs F6","Active","SD-000050","Colours"
"O-000465","3 Tubs F9","Active","SD-000213","Identical"
"O-000466","3 Tubs F9","Active","SD-000289","Non-Identical"
"O-000467","3 Tubs F9","Active","SD-000050","Colours"
"O-000468","3 words","Active","SD-000054","Communication opportunity"
"O-000469","3 Words","Active","SD-000248","List words"
"O-000470","3 worksheets","Active","SD-000519","Worksheet"
"O-000471","30 minutes after","Active","SD-000437","Signicant activity"
"O-000472","30 sec","Active","SD-000297","Parents leave (outside)"
"O-000473","30 seconds","Active","SD-000253","Mat time"
"O-000474","30 seconds","Active","SD-000328","Program stimuli"
